City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,drovyanaya,51.5833,113.0333,-9.01,64,100,10.54,RU,1670294727
192,adrar,20.5022,-10.0711,22.29,30,30,1.08,MR,1670294727
193,clyde river,70.4692,-68.5914,-6.87,100,100,1.54,CA,1670294728
194,torbay,47.6666,-52.7314,4.86,96,100,2.06,CA,1670294728
195,hilo,19.7297,-155.09,25.85,84,40,5.66,US,1670294620
196,hamilton,39.1834,-84.5333,7.43,90,100,4.12,US,1670294222
197,la libertad,-2.2333,-80.9,22.81,78,75,3.6,EC,1670294729
198,ferme-neuve,46.7001,-75.4493,1.34,65,100,3.81,CA,1670294729
199,eqbaliyeh,35.3022,51.5358,4.9,78,96,1.35,IR,1670294729
200,provideniya,64.3833,-173.3,0.2,93,100,14.0,RU,1670294565
201,varhaug,58.6147,5.6457,2.49,82,100,5.61,NO,1670294730
202,esperance,-33.8667,121.9,18.46,71,84,7.19,AU,1670294730
203,galesong,-5.3166,119.3661,32.01,65,89,1.77,ID,1670294730
204,kavaratti,10.5669,72.642,27.93,67,75,2.2,IN,1670294731
205,george,-33.963,22.4617,11.75,87,40,2.57,ZA,1670294731
206,santa cruz de la palma,28.6835,-17.7642,18.08,82,0,2.57,ES,1670294655
207,myitkyina,25.3833,97.4,21.36,41,0,1.11,MM,1670294731
208,yellowknife,62.456,-114.3525,-35.25,68,0,3.09,CA,1670294632
209,gwadar,25.1216,62.3254,22.72,62,6,2.34,PK,1670294508
210,eydhafushi,5.1033,73.0708,26.57,79,100,3.18,MV,1670294732
211,roma,43.2128,-75.4557,3.94,54,0,2.57,US,1670294733
212,hirado,33.3597,129.5531,9.66,52,25,6.73,JP,1670294733
213,coquimbo,-29.9533,-71.3436,14.85,94,0,1.54,CL,1670294548
214,gambo,4.6482,22.2633,19.58,97,11,0.63,CF,1670294733
215,lumajang,-8.1335,113.2248,30.17,61,81,1.45,ID,1670294734
216,ixtapa,20.7,-105.2,24.57,88,40,2.06,MX,1670294442
217,leh,34.1667,77.5833,-7.23,46,100,1.16,IN,1670294734
218,brae,60.3964,-1.353,5.29,64,98,10.87,GB,1670294734
219,alekseyevsk,57.8406,108.3492,-11.29,94,100,4.86,RU,1670294736
220,bentiu,9.2333,29.8333,22.95,33,7,2.71,SS,1670294737
221,zheshart,62.0731,49.5733,-13.61,93,92,2.3,RU,1670294737
222,montlucon,46.3333,2.6,-1.28,97,1,1.48,FR,1670294738
223,sistranda,63.7256,8.834,2.98,63,100,11.69,NO,1670294738
224,broken hill,-31.95,141.4333,23.52,27,97,0.99,AU,1670294738
225,san andres,12.5847,-81.7006,28.01,74,40,6.69,CO,1670294739
226,bengkulu,-3.8004,102.2655,27.56,71,100,1.29,ID,1670294739
227,obuasi,6.206,-1.6619,22.39,99,85,0.89,GH,1670294739
228,antigonish,45.6169,-61.9986,-1.21,70,37,1.91,CA,1670294740
229,ust-nera,64.5667,143.2,-41.65,97,89,0.94,RU,1670294740
230,ziro,27.6333,93.8333,7.41,46,4,0.7,IN,1670294740
231,homer,59.6425,-151.5483,3.21,92,100,3.6,US,1670294740
232,cuamba,-14.8031,36.5372,21.41,82,38,1.94,MZ,1670294741
233,padang,-0.9492,100.3543,29.03,74,100,0.32,ID,1670294741
234,fallon,39.4735,-118.7774,5.93,48,40,5.14,US,1670294741
235,chuy,-33.6971,-53.4616,17.26,94,0,2.5,UY,1670294678
236,aloha,45.4943,-122.8671,4.01,89,40,2.06,US,1670294742
237,de-kastri,51.4667,140.7833,-11.41,66,24,1.88,RU,1670294742
238,ballina,-28.8667,153.5667,34.32,38,0,2.83,AU,1670294743
239,nsanje,-16.92,35.262,23.78,76,2,1.21,MW,1670294743
240,ilulissat,69.2167,-51.1,4.01,48,20,10.29,GL,1670294566
241,quang ngai,15.1167,108.8,23.89,90,100,4.81,VN,1670294743
242,yulara,-25.2406,130.9889,40.27,9,13,8.59,AU,1670294642
243,gilbues,-9.8317,-45.3439,21.54,79,79,2.19,BR,1670294744
244,hualmay,-11.0964,-77.6139,18.85,86,91,2.98,PE,1670294634
245,udachnyy,66.4167,112.4,-33.44,100,91,2.39,RU,1670294744
246,te anau,-45.4167,167.7167,11.16,81,99,1.39,NZ,1670294744
247,manyana,-23.4,21.7167,20.98,17,41,3.18,BW,1670294745
248,parana,-31.732,-60.5238,28.62,63,0,3.68,AR,1670294745
249,zeya,53.75,127.2667,-19.48,88,86,0.14,RU,1670294745
250,rio gallegos,-51.6226,-69.2181,9.03,40,40,6.17,AR,1670294746
251,cockburn town,21.4612,-71.1419,25.78,61,2,8.25,TC,1670294567
252,bandundu,-3.3167,17.3667,20.67,94,81,1.0,CD,1670294746
253,urengoy,65.9667,78.3667,-13.08,90,92,4.5,RU,1670294746
254,novo aripuana,-5.1206,-60.3797,23.15,97,100,0.71,BR,1670294747
255,jalna,19.8333,75.8833,22.07,48,8,2.34,IN,1670294747
256,faya,18.3851,42.4509,10.29,59,0,1.35,SA,1670294747
257,dayong,25.0209,118.2898,16.04,65,99,1.83,CN,1670294747
258,kovdor,67.5662,30.4758,-2.69,91,100,4.9,RU,1670294748
259,kadoma,34.7333,135.5833,13.14,45,20,3.6,JP,1670294748
260,nanakuli,21.3906,-158.1547,26.97,57,100,3.6,US,1670294748
261,arraial do cabo,-22.9661,-42.0278,23.12,90,100,9.95,BR,1670294644
262,ghanzi,-21.5667,21.7833,24.01,27,59,2.42,BW,1670294749
263,srednekolymsk,67.45,153.6833,-33.7,99,100,1.66,RU,1670294749
264,thunder bay,48.4001,-89.3168,-12.01,61,100,4.63,CA,1670294551
265,tsumeb,-19.2333,17.7167,23.65,27,77,1.6,NA,1670294749
266,bambous virieux,-20.3428,57.7575,24.01,94,75,1.54,MU,1670294644
267,kayerkan,69.3497,87.7602,-4.15,100,100,6.43,RU,1670294750
268,ukiah,39.1502,-123.2078,8.94,88,75,0.0,US,1670294750
269,solone,48.2081,34.8721,-6.79,49,18,4.72,UA,1670294751
270,molina,-35.1167,-71.2833,22.85,31,0,3.09,CL,1670294751
271,mega,4.05,38.3,14.32,67,53,2.4,ET,1670294751
272,barahona,18.2085,-71.1008,22.81,77,0,1.54,DO,1670294751
273,ancud,-41.8697,-73.8203,11.96,96,61,1.38,CL,1670294752
274,changji,44.0167,87.3167,-9.56,79,0,2.0,CN,1670294752
275,camacupa,-12.0167,17.4833,16.31,96,95,0.28,AO,1670294752
276,kaitong,44.8135,123.15,-7.2,34,40,8.68,CN,1670294753
277,hami,42.8,93.45,-3.97,38,100,1.5,CN,1670294753
278,santa isabel do rio negro,-0.4139,-65.0192,24.5,90,100,1.03,BR,1670294753
